Fecha,Semana,Mes,Dia,Anio
01/01/1900,1,1,1,1900
01/01/2017,1,1,1,2017
02/01/2017,1,1,2,2017
03/01/2017,1,1,3,2017
04/01/2017,1,1,4,2017
05/01/2017,1,1,5,2017
06/01/2017,1,1,6,2017
07/01/2017,1,1,7,2017
08/01/2017,1,1,8,2017
09/01/2017,2,1,9,2017
10/01/2017,2,1,10,2017
11/01/2017,2,1,11,2017
12/01/2017,2,1,12,2017
13/01/2017,2,1,13,2017
14/01/2017,2,1,14,2017
15/01/2017,2,1,15,2017
16/01/2017,3,1,16,2017
17/01/2017,3,1,17,2017
18/01/2017,3,1,18,2017
19/01/2017,3,1,19,2017
20/01/2017,3,1,20,2017
21/01/2017,3,1,21,2017
22/01/2017,3,1,22,2017
23/01/2017,4,1,23,2017
24/01/2017,4,1,24,2017
25/01/2017,4,1,25,2017
26/01/2017,4,1,26,2017
27/01/2017,4,1,27,2017
28/01/2017,4,1,28,2017
29/01/2017,4,1,29,2017
30/01/2017,5,1,30,2017
31/01/2017,5,1,31,2017
01/02/2017,5,2,1,2017
02/02/2017,5,2,2,2017
03/02/2017,5,2,3,2017
04/02/2017,5,2,4,2017
05/02/2017,5,2,5,2017
06/02/2017,6,2,6,2017
07/02/2017,6,2,7,2017
08/02/2017,6,2,8,2017
09/02/2017,6,2,9,2017
10/02/2017,6,2,10,2017
11/02/2017,6,2,11,2017
12/02/2017,6,2,12,2017
13/02/2017,7,2,13,2017
14/02/2017,7,2,14,2017
15/02/2017,7,2,15,2017
16/02/2017,7,2,16,2017
17/02/2017,7,2,17,2017
18/02/2017,7,2,18,2017
19/02/2017,7,2,19,2017
20/02/2017,8,2,20,2017
21/02/2017,8,2,21,2017
22/02/2017,8,2,22,2017
23/02/2017,8,2,23,2017
24/02/2017,8,2,24,2017
25/02/2017,8,2,25,2017
26/02/2017,8,2,26,2017
27/02/2017,9,2,27,2017
28/02/2017,9,2,28,2017
01/03/2017,9,3,1,2017
02/03/2017,9,3,2,2017
03/03/2017,9,3,3,2017
04/03/2017,9,3,4,2017
05/03/2017,9,3,5,2017
06/03/2017,10,3,6,2017
07/03/2017,10,3,7,2017
08/03/2017,10,3,8,2017
09/03/2017,10,3,9,2017
10/03/2017,10,3,10,2017
11/03/2017,10,3,11,2017
12/03/2017,10,3,12,2017
13/03/2017,11,3,13,2017
14/03/2017,11,3,14,2017
15/03/2017,11,3,15,2017
16/03/2017,11,3,16,2017
17/03/2017,11,3,17,2017
18/03/2017,11,3,18,2017
19/03/2017,11,3,19,2017
20/03/2017,12,3,20,2017
21/03/2017,12,3,21,2017
22/03/2017,12,3,22,2017
23/03/2017,12,3,23,2017
24/03/2017,12,3,24,2017
25/03/2017,12,3,25,2017
26/03/2017,12,3,26,2017
27/03/2017,13,3,27,2017
28/03/2017,13,3,28,2017
29/03/2017,13,3,29,2017
30/03/2017,13,3,30,2017
31/03/2017,13,3,31,2017
01/04/2017,13,4,1,2017
02/04/2017,13,4,2,2017
03/04/2017,14,4,3,2017
04/04/2017,14,4,4,2017
05/04/2017,14,4,5,2017
06/04/2017,14,4,6,2017
07/04/2017,14,4,7,2017
08/04/2017,14,4,8,2017
09/04/2017,14,4,9,2017
10/04/2017,15,4,10,2017
11/04/2017,15,4,11,2017
12/04/2017,15,4,12,2017
13/04/2017,15,4,13,2017
14/04/2017,15,4,14,2017
15/04/2017,15,4,15,2017
16/04/2017,15,4,16,2017
17/04/2017,16,4,17,2017
18/04/2017,16,4,18,2017
19/04/2017,16,4,19,2017
20/04/2017,16,4,20,2017
21/04/2017,16,4,21,2017
22/04/2017,16,4,22,2017
23/04/2017,16,4,23,2017
24/04/2017,17,4,24,2017
25/04/2017,17,4,25,2017
26/04/2017,17,4,26,2017
27/04/2017,17,4,27,2017
28/04/2017,17,4,28,2017
29/04/2017,17,4,29,2017
30/04/2017,17,4,30,2017
01/05/2017,18,5,1,2017
02/05/2017,18,5,2,2017
03/05/2017,18,5,3,2017
04/05/2017,18,5,4,2017
05/05/2017,18,5,5,2017
06/05/2017,18,5,6,2017
07/05/2017,18,5,7,2017
08/05/2017,19,5,8,2017
09/05/2017,19,5,9,2017
10/05/2017,19,5,10,2017
11/05/2017,19,5,11,2017
12/05/2017,19,5,12,2017
13/05/2017,19,5,13,2017
14/05/2017,19,5,14,2017
15/05/2017,20,5,15,2017
16/05/2017,20,5,16,2017
17/05/2017,20,5,17,2017
18/05/2017,20,5,18,2017
19/05/2017,20,5,19,2017
20/05/2017,20,5,20,2017
21/05/2017,20,5,21,2017
22/05/2017,21,5,22,2017
23/05/2017,21,5,23,2017
24/05/2017,21,5,24,2017
25/05/2017,21,5,25,2017
26/05/2017,21,5,26,2017
27/05/2017,21,5,27,2017
28/05/2017,21,5,28,2017
29/05/2017,22,5,29,2017
30/05/2017,22,5,30,2017
31/05/2017,22,5,31,2017
01/06/2017,22,6,1,2017
02/06/2017,22,6,2,2017
03/06/2017,22,6,3,2017
04/06/2017,22,6,4,2017
05/06/2017,23,6,5,2017
06/06/2017,23,6,6,2017
07/06/2017,23,6,7,2017
08/06/2017,23,6,8,2017
09/06/2017,23,6,9,2017
10/06/2017,23,6,10,2017
11/06/2017,23,6,11,2017
12/06/2017,24,6,12,2017
13/06/2017,24,6,13,2017
14/06/2017,24,6,14,2017
15/06/2017,24,6,15,2017
16/06/2017,24,6,16,2017
17/06/2017,24,6,17,2017
18/06/2017,24,6,18,2017
19/06/2017,25,6,19,2017
20/06/2017,25,6,20,2017
21/06/2017,25,6,21,2017
22/06/2017,25,6,22,2017
23/06/2017,25,6,23,2017
24/06/2017,25,6,24,2017
25/06/2017,25,6,25,2017
26/06/2017,26,6,26,2017
27/06/2017,26,6,27,2017
28/06/2017,26,6,28,2017
29/06/2017,26,6,29,2017
30/06/2017,26,6,30,2017
01/07/2017,26,7,1,2017
02/07/2017,26,7,2,2017
03/07/2017,27,7,3,2017
04/07/2017,27,7,4,2017
05/07/2017,27,7,5,2017
06/07/2017,27,7,6,2017
07/07/2017,27,7,7,2017
08/07/2017,27,7,8,2017
09/07/2017,27,7,9,2017
10/07/2017,28,7,10,2017
11/07/2017,28,7,11,2017
12/07/2017,28,7,12,2017
13/07/2017,28,7,13,2017
14/07/2017,28,7,14,2017
15/07/2017,28,7,15,2017
16/07/2017,28,7,16,2017
17/07/2017,29,7,17,2017
18/07/2017,29,7,18,2017
19/07/2017,29,7,19,2017
20/07/2017,29,7,20,2017
21/07/2017,29,7,21,2017
22/07/2017,29,7,22,2017
23/07/2017,29,7,23,2017
24/07/2017,30,7,24,2017
25/07/2017,30,7,25,2017
26/07/2017,30,7,26,2017
27/07/2017,30,7,27,2017
28/07/2017,30,7,28,2017
29/07/2017,30,7,29,2017
30/07/2017,30,7,30,2017
31/07/2017,31,7,31,2017
01/08/2017,31,8,1,2017
02/08/2017,31,8,2,2017
03/08/2017,31,8,3,2017
04/08/2017,31,8,4,2017
05/08/2017,31,8,5,2017
06/08/2017,31,8,6,2017
07/08/2017,32,8,7,2017
08/08/2017,32,8,8,2017
09/08/2017,32,8,9,2017
10/08/2017,32,8,10,2017
11/08/2017,32,8,11,2017
12/08/2017,32,8,12,2017
13/08/2017,32,8,13,2017
14/08/2017,33,8,14,2017
15/08/2017,33,8,15,2017
16/08/2017,33,8,16,2017
17/08/2017,33,8,17,2017
18/08/2017,33,8,18,2017
19/08/2017,33,8,19,2017
20/08/2017,33,8,20,2017
21/08/2017,34,8,21,2017
22/08/2017,34,8,22,2017
23/08/2017,34,8,23,2017
24/08/2017,34,8,24,2017
25/08/2017,34,8,25,2017
26/08/2017,34,8,26,2017
27/08/2017,34,8,27,2017
28/08/2017,35,8,28,2017
29/08/2017,35,8,29,2017
30/08/2017,35,8,30,2017
31/08/2017,35,8,31,2017
01/09/2017,35,9,1,2017
02/09/2017,35,9,2,2017
03/09/2017,35,9,3,2017
04/09/2017,36,9,4,2017
05/09/2017,36,9,5,2017
06/09/2017,36,9,6,2017
07/09/2017,36,9,7,2017
08/09/2017,36,9,8,2017
09/09/2017,36,9,9,2017
10/09/2017,36,9,10,2017
11/09/2017,37,9,11,2017
12/09/2017,37,9,12,2017
13/09/2017,37,9,13,2017
14/09/2017,37,9,14,2017
15/09/2017,37,9,15,2017
16/09/2017,37,9,16,2017
17/09/2017,37,9,17,2017
18/09/2017,38,9,18,2017
19/09/2017,38,9,19,2017
20/09/2017,38,9,20,2017
21/09/2017,38,9,21,2017
22/09/2017,38,9,22,2017
23/09/2017,38,9,23,2017
24/09/2017,38,9,24,2017
25/09/2017,39,9,25,2017
26/09/2017,39,9,26,2017
27/09/2017,39,9,27,2017
28/09/2017,39,9,28,2017
29/09/2017,39,9,29,2017
30/09/2017,39,9,30,2017
01/10/2017,39,10,1,2017
02/10/2017,40,10,2,2017
03/10/2017,40,10,3,2017
04/10/2017,40,10,4,2017
05/10/2017,40,10,5,2017
06/10/2017,40,10,6,2017
07/10/2017,40,10,7,2017
08/10/2017,40,10,8,2017
09/10/2017,41,10,9,2017
10/10/2017,41,10,10,2017
11/10/2017,41,10,11,2017
12/10/2017,41,10,12,2017
13/10/2017,41,10,13,2017
14/10/2017,41,10,14,2017
15/10/2017,41,10,15,2017
16/10/2017,42,10,16,2017
17/10/2017,42,10,17,2017
18/10/2017,42,10,18,2017
19/10/2017,42,10,19,2017
20/10/2017,42,10,20,2017
21/10/2017,42,10,21,2017
22/10/2017,42,10,22,2017
23/10/2017,43,10,23,2017
24/10/2017,43,10,24,2017
25/10/2017,43,10,25,2017
26/10/2017,43,10,26,2017
27/10/2017,43,10,27,2017
28/10/2017,43,10,28,2017
29/10/2017,43,10,29,2017
30/10/2017,44,10,30,2017
31/10/2017,44,10,31,2017
01/11/2017,44,11,1,2017
02/11/2017,44,11,2,2017
03/11/2017,44,11,3,2017
04/11/2017,44,11,4,2017
05/11/2017,44,11,5,2017
06/11/2017,45,11,6,2017
07/11/2017,45,11,7,2017
08/11/2017,45,11,8,2017
09/11/2017,45,11,9,2017
10/11/2017,45,11,10,2017
11/11/2017,45,11,11,2017
12/11/2017,45,11,12,2017
13/11/2017,46,11,13,2017
14/11/2017,46,11,14,2017
15/11/2017,46,11,15,2017
16/11/2017,46,11,16,2017
17/11/2017,46,11,17,2017
18/11/2017,46,11,18,2017
19/11/2017,46,11,19,2017
20/11/2017,47,11,20,2017
21/11/2017,47,11,21,2017
22/11/2017,47,11,22,2017
23/11/2017,47,11,23,2017
24/11/2017,47,11,24,2017
25/11/2017,47,11,25,2017
26/11/2017,47,11,26,2017
27/11/2017,48,11,27,2017
28/11/2017,48,11,28,2017
29/11/2017,48,11,29,2017
30/11/2017,48,11,30,2017
01/12/2017,48,12,1,2017
02/12/2017,48,12,2,2017
03/12/2017,48,12,3,2017
04/12/2017,49,12,4,2017
05/12/2017,49,12,5,2017
06/12/2017,49,12,6,2017
07/12/2017,49,12,7,2017
08/12/2017,49,12,8,2017
09/12/2017,49,12,9,2017
10/12/2017,49,12,10,2017
11/12/2017,50,12,11,2017
12/12/2017,50,12,12,2017
13/12/2017,50,12,13,2017
14/12/2017,50,12,14,2017
15/12/2017,50,12,15,2017
16/12/2017,50,12,16,2017
17/12/2017,50,12,17,2017
18/12/2017,51,12,18,2017
19/12/2017,51,12,19,2017
20/12/2017,51,12,20,2017
21/12/2017,51,12,21,2017
22/12/2017,51,12,22,2017
23/12/2017,51,12,23,2017
24/12/2017,51,12,24,2017
25/12/2017,52,12,25,2017
26/12/2017,52,12,26,2017
27/12/2017,52,12,27,2017
28/12/2017,52,12,28,2017
29/12/2017,52,12,29,2017
30/12/2017,52,12,30,2017
31/12/2017,52,12,31,2017
01/01/2018,1,1,1,2018
02/01/2018,1,1,2,2018
03/01/2018,1,1,3,2018
04/01/2018,1,1,4,2018
05/01/2018,1,1,5,2018
06/01/2018,1,1,6,2018
07/01/2018,1,1,7,2018
08/01/2018,2,1,8,2018
09/01/2018,2,1,9,2018
10/01/2018,2,1,10,2018
11/01/2018,2,1,11,2018
12/01/2018,2,1,12,2018
13/01/2018,2,1,13,2018
14/01/2018,2,1,14,2018
15/01/2018,3,1,15,2018
16/01/2018,3,1,16,2018
17/01/2018,3,1,17,2018
18/01/2018,3,1,18,2018
19/01/2018,3,1,19,2018
20/01/2018,3,1,20,2018
21/01/2018,3,1,21,2018
22/01/2018,4,1,22,2018
23/01/2018,4,1,23,2018
24/01/2018,4,1,24,2018
25/01/2018,4,1,25,2018
26/01/2018,4,1,26,2018
27/01/2018,4,1,27,2018
28/01/2018,4,1,28,2018
29/01/2018,5,1,29,2018
30/01/2018,5,1,30,2018
31/01/2018,5,1,31,2018
01/02/2018,5,2,1,2018
02/02/2018,5,2,2,2018
03/02/2018,5,2,3,2018
04/02/2018,5,2,4,2018
05/02/2018,6,2,5,2018
06/02/2018,6,2,6,2018
07/02/2018,6,2,7,2018
08/02/2018,6,2,8,2018
09/02/2018,6,2,9,2018
10/02/2018,6,2,10,2018
11/02/2018,6,2,11,2018
12/02/2018,7,2,12,2018
13/02/2018,7,2,13,2018
14/02/2018,7,2,14,2018
15/02/2018,7,2,15,2018
16/02/2018,7,2,16,2018
17/02/2018,7,2,17,2018
18/02/2018,7,2,18,2018
19/02/2018,8,2,19,2018
20/02/2018,8,2,20,2018
21/02/2018,8,2,21,2018
22/02/2018,8,2,22,2018
23/02/2018,8,2,23,2018
24/02/2018,8,2,24,2018
25/02/2018,8,2,25,2018
26/02/2018,9,2,26,2018
27/02/2018,9,2,27,2018
28/02/2018,9,2,28,2018
01/03/2018,9,3,1,2018
02/03/2018,9,3,2,2018
03/03/2018,9,3,3,2018
04/03/2018,9,3,4,2018
05/03/2018,10,3,5,2018
06/03/2018,10,3,6,2018
07/03/2018,10,3,7,2018
08/03/2018,10,3,8,2018
09/03/2018,10,3,9,2018
10/03/2018,10,3,10,2018
11/03/2018,10,3,11,2018
12/03/2018,11,3,12,2018
13/03/2018,11,3,13,2018
14/03/2018,11,3,14,2018
15/03/2018,11,3,15,2018
16/03/2018,11,3,16,2018
17/03/2018,11,3,17,2018
18/03/2018,11,3,18,2018
19/03/2018,12,3,19,2018
20/03/2018,12,3,20,2018
21/03/2018,12,3,21,2018
22/03/2018,12,3,22,2018
23/03/2018,12,3,23,2018
24/03/2018,12,3,24,2018
25/03/2018,12,3,25,2018
26/03/2018,13,3,26,2018
27/03/2018,13,3,27,2018
28/03/2018,13,3,28,2018
29/03/2018,13,3,29,2018
30/03/2018,13,3,30,2018
31/03/2018,13,3,31,2018
01/04/2018,13,4,1,2018
02/04/2018,14,4,2,2018
03/04/2018,14,4,3,2018
04/04/2018,14,4,4,2018
05/04/2018,14,4,5,2018
06/04/2018,14,4,6,2018
07/04/2018,14,4,7,2018
08/04/2018,14,4,8,2018
09/04/2018,15,4,9,2018
10/04/2018,15,4,10,2018
11/04/2018,15,4,11,2018
12/04/2018,15,4,12,2018
13/04/2018,15,4,13,2018
14/04/2018,15,4,14,2018
15/04/2018,15,4,15,2018
16/04/2018,16,4,16,2018
17/04/2018,16,4,17,2018
18/04/2018,16,4,18,2018
19/04/2018,16,4,19,2018
20/04/2018,16,4,20,2018
21/04/2018,16,4,21,2018
22/04/2018,16,4,22,2018
23/04/2018,17,4,23,2018
24/04/2018,17,4,24,2018
25/04/2018,17,4,25,2018
26/04/2018,17,4,26,2018
27/04/2018,17,4,27,2018
28/04/2018,17,4,28,2018
29/04/2018,17,4,29,2018
30/04/2018,18,4,30,2018
01/05/2018,18,5,1,2018
02/05/2018,18,5,2,2018
03/05/2018,18,5,3,2018
04/05/2018,18,5,4,2018
05/05/2018,18,5,5,2018
06/05/2018,18,5,6,2018
07/05/2018,19,5,7,2018
08/05/2018,19,5,8,2018
09/05/2018,19,5,9,2018
10/05/2018,19,5,10,2018
11/05/2018,19,5,11,2018
12/05/2018,19,5,12,2018
13/05/2018,19,5,13,2018
14/05/2018,20,5,14,2018
15/05/2018,20,5,15,2018
16/05/2018,20,5,16,2018
17/05/2018,20,5,17,2018
18/05/2018,20,5,18,2018
19/05/2018,20,5,19,2018
20/05/2018,20,5,20,2018
21/05/2018,21,5,21,2018
22/05/2018,21,5,22,2018
23/05/2018,21,5,23,2018
24/05/2018,21,5,24,2018
25/05/2018,21,5,25,2018
26/05/2018,21,5,26,2018
27/05/2018,21,5,27,2018
28/05/2018,22,5,28,2018
29/05/2018,22,5,29,2018
30/05/2018,22,5,30,2018
31/05/2018,22,5,31,2018
01/06/2018,22,6,1,2018
02/06/2018,22,6,2,2018
03/06/2018,22,6,3,2018
04/06/2018,23,6,4,2018
05/06/2018,23,6,5,2018
06/06/2018,23,6,6,2018
07/06/2018,23,6,7,2018
08/06/2018,23,6,8,2018
09/06/2018,23,6,9,2018
10/06/2018,23,6,10,2018
11/06/2018,24,6,11,2018
12/06/2018,24,6,12,2018
13/06/2018,24,6,13,2018
14/06/2018,24,6,14,2018
15/06/2018,24,6,15,2018
16/06/2018,24,6,16,2018
17/06/2018,24,6,17,2018
18/06/2018,25,6,18,2018
19/06/2018,25,6,19,2018
20/06/2018,25,6,20,2018
21/06/2018,25,6,21,2018
22/06/2018,25,6,22,2018
23/06/2018,25,6,23,2018
24/06/2018,25,6,24,2018
25/06/2018,26,6,25,2018
26/06/2018,26,6,26,2018
27/06/2018,26,6,27,2018
28/06/2018,26,6,28,2018
29/06/2018,26,6,29,2018
30/06/2018,26,6,30,2018
01/07/2018,26,7,1,2018
02/07/2018,27,7,2,2018
03/07/2018,27,7,3,2018
04/07/2018,27,7,4,2018
05/07/2018,27,7,5,2018
06/07/2018,27,7,6,2018
07/07/2018,27,7,7,2018
08/07/2018,27,7,8,2018
09/07/2018,28,7,9,2018
10/07/2018,28,7,10,2018
11/07/2018,28,7,11,2018
12/07/2018,28,7,12,2018
13/07/2018,28,7,13,2018
14/07/2018,28,7,14,2018
15/07/2018,28,7,15,2018
16/07/2018,29,7,16,2018
17/07/2018,29,7,17,2018
18/07/2018,29,7,18,2018
19/07/2018,29,7,19,2018
20/07/2018,29,7,20,2018
21/07/2018,29,7,21,2018
22/07/2018,29,7,22,2018
23/07/2018,30,7,23,2018
24/07/2018,30,7,24,2018
25/07/2018,30,7,25,2018
26/07/2018,30,7,26,2018
27/07/2018,30,7,27,2018
28/07/2018,30,7,28,2018
29/07/2018,30,7,29,2018
30/07/2018,31,7,30,2018
31/07/2018,31,7,31,2018
01/08/2018,31,8,1,2018
02/08/2018,31,8,2,2018
03/08/2018,31,8,3,2018
04/08/2018,31,8,4,2018
05/08/2018,31,8,5,2018
06/08/2018,32,8,6,2018
07/08/2018,32,8,7,2018
08/08/2018,32,8,8,2018
09/08/2018,32,8,9,2018
10/08/2018,32,8,10,2018
11/08/2018,32,8,11,2018
12/08/2018,32,8,12,2018
13/08/2018,33,8,13,2018
14/08/2018,33,8,14,2018
15/08/2018,33,8,15,2018
16/08/2018,33,8,16,2018
17/08/2018,33,8,17,2018
18/08/2018,33,8,18,2018
19/08/2018,33,8,19,2018
20/08/2018,34,8,20,2018
21/08/2018,34,8,21,2018
22/08/2018,34,8,22,2018
23/08/2018,34,8,23,2018
24/08/2018,34,8,24,2018
25/08/2018,34,8,25,2018
26/08/2018,34,8,26,2018
27/08/2018,35,8,27,2018
28/08/2018,35,8,28,2018
29/08/2018,35,8,29,2018
30/08/2018,35,8,30,2018
31/08/2018,35,8,31,2018
01/09/2018,35,9,1,2018
02/09/2018,35,9,2,2018
03/09/2018,36,9,3,2018
04/09/2018,36,9,4,2018
05/09/2018,36,9,5,2018
06/09/2018,36,9,6,2018
07/09/2018,36,9,7,2018
08/09/2018,36,9,8,2018
09/09/2018,36,9,9,2018
10/09/2018,37,9,10,2018
11/09/2018,37,9,11,2018
12/09/2018,37,9,12,2018
13/09/2018,37,9,13,2018
14/09/2018,37,9,14,2018
15/09/2018,37,9,15,2018
16/09/2018,37,9,16,2018
17/09/2018,38,9,17,2018
18/09/2018,38,9,18,2018
19/09/2018,38,9,19,2018
20/09/2018,38,9,20,2018
21/09/2018,38,9,21,2018
22/09/2018,38,9,22,2018
23/09/2018,38,9,23,2018
24/09/2018,39,9,24,2018
25/09/2018,39,9,25,2018
26/09/2018,39,9,26,2018
27/09/2018,39,9,27,2018
28/09/2018,39,9,28,2018
29/09/2018,39,9,29,2018
30/09/2018,39,9,30,2018
01/10/2018,40,10,1,2018
02/10/2018,40,10,2,2018
03/10/2018,40,10,3,2018
04/10/2018,40,10,4,2018
05/10/2018,40,10,5,2018
06/10/2018,40,10,6,2018
07/10/2018,40,10,7,2018
08/10/2018,41,10,8,2018
09/10/2018,41,10,9,2018
10/10/2018,41,10,10,2018
11/10/2018,41,10,11,2018
12/10/2018,41,10,12,2018
13/10/2018,41,10,13,2018
14/10/2018,41,10,14,2018
15/10/2018,42,10,15,2018
16/10/2018,42,10,16,2018
17/10/2018,42,10,17,2018
18/10/2018,42,10,18,2018
19/10/2018,42,10,19,2018
20/10/2018,42,10,20,2018
21/10/2018,42,10,21,2018
22/10/2018,43,10,22,2018
23/10/2018,43,10,23,2018
24/10/2018,43,10,24,2018
25/10/2018,43,10,25,2018
26/10/2018,43,10,26,2018
27/10/2018,43,10,27,2018
28/10/2018,43,10,28,2018
29/10/2018,44,10,29,2018
30/10/2018,44,10,30,2018
31/10/2018,44,10,31,2018
01/11/2018,44,11,1,2018
02/11/2018,44,11,2,2018
03/11/2018,44,11,3,2018
04/11/2018,44,11,4,2018
05/11/2018,45,11,5,2018
06/11/2018,45,11,6,2018
07/11/2018,45,11,7,2018
08/11/2018,45,11,8,2018
09/11/2018,45,11,9,2018
10/11/2018,45,11,10,2018
11/11/2018,45,11,11,2018
12/11/2018,46,11,12,2018
13/11/2018,46,11,13,2018
14/11/2018,46,11,14,2018
15/11/2018,46,11,15,2018
16/11/2018,46,11,16,2018
17/11/2018,46,11,17,2018
18/11/2018,46,11,18,2018
19/11/2018,47,11,19,2018
20/11/2018,47,11,20,2018
21/11/2018,47,11,21,2018
22/11/2018,47,11,22,2018
23/11/2018,47,11,23,2018
24/11/2018,47,11,24,2018
25/11/2018,47,11,25,2018
26/11/2018,48,11,26,2018
27/11/2018,48,11,27,2018
28/11/2018,48,11,28,2018
29/11/2018,48,11,29,2018
30/11/2018,48,11,30,2018
01/12/2018,48,12,1,2018
02/12/2018,48,12,2,2018
03/12/2018,49,12,3,2018
04/12/2018,49,12,4,2018
05/12/2018,49,12,5,2018
06/12/2018,49,12,6,2018
07/12/2018,49,12,7,2018
08/12/2018,49,12,8,2018
09/12/2018,49,12,9,2018
10/12/2018,50,12,10,2018
11/12/2018,50,12,11,2018
12/12/2018,50,12,12,2018
13/12/2018,50,12,13,2018
14/12/2018,50,12,14,2018
15/12/2018,50,12,15,2018
16/12/2018,50,12,16,2018
17/12/2018,51,12,17,2018
18/12/2018,51,12,18,2018
19/12/2018,51,12,19,2018
20/12/2018,51,12,20,2018
21/12/2018,51,12,21,2018
22/12/2018,51,12,22,2018
23/12/2018,51,12,23,2018
24/12/2018,52,12,24,2018
25/12/2018,52,12,25,2018
26/12/2018,52,12,26,2018
27/12/2018,52,12,27,2018
28/12/2018,52,12,28,2018
29/12/2018,52,12,29,2018
30/12/2018,52,12,30,2018
